1	4.57E+01	6.01E+01	0.0019
1.1	4.80E+01	6.22E+01	0.0021
1.2	5.01E+01	6.40E+01	0.0022
1.3	5.22E+01	6.57E+01	0.0023
1.4	5.41E+01	6.73E+01	0.0024
1.5	5.60E+01	6.88E+01	0.0025
1.6	5.79E+01	7.02E+01	0.0026
1.7	5.96E+01	7.15E+01	0.0028
1.8	6.14E+01	7.27E+01	0.0029
2	6.47E+01	7.50E+01	0.0031
2.25	6.86E+01	7.75E+01	0.0033
2.5	7.23E+01	7.97E+01	0.0036
2.75	7.58E+01	8.17E+01	0.0038
3	7.92E+01	8.35E+01	0.0041
3.25	8.25E+01	8.51E+01	0.0043
3.5	8.56E+01	8.66E+01	0.0046
3.75	8.86E+01	8.80E+01	0.0048
4	9.15E+01	8.92E+01	0.005
4.5	9.70E+01	9.14E+01	0.0055
5	1.02E+02	9.33E+01	0.006
5.5	1.07E+02	9.50E+01	0.0064
6	1.12E+02	9.64E+01	0.0069
6.5	1.17E+02	9.77E+01	0.0073
7	1.21E+02	9.88E+01	0.0078
8	1.29E+02	1.01E+02	0.0087
9	1.37E+02	1.02E+02	0.0095
10	1.45E+02	1.03E+02	0.0104
11	1.52E+02	1.04E+02	0.0112
12	1.58E+02	1.05E+02	0.0121
13	1.65E+02	1.06E+02	0.0129
14	1.71E+02	1.06E+02	0.0138
15	1.77E+02	1.06E+02	0.0146
16	1.83E+02	1.07E+02	0.0155
17	1.89E+02	1.07E+02	0.0163
18	1.94E+02	1.07E+02	0.0172
20	2.05E+02	1.07E+02	0.0189
22.5	2.17E+02	1.07E+02	0.021
25	2.28E+02	1.07E+02	0.0231
27.5	2.37E+02	1.06E+02	0.0252
30	2.46E+02	1.06E+02	0.0273
32.5	2.54E+02	1.05E+02	0.0295
35	2.63E+02	1.04E+02	0.0316
37.5	2.72E+02	1.03E+02	0.0337
40	2.81E+02	1.02E+02	0.0359
45	2.99E+02	1.01E+02	0.0402
50	3.16E+02	9.91E+01	0.0445
55	3.33E+02	9.74E+01	0.0488
60	3.49E+02	9.57E+01	0.0531
65	3.64E+02	9.41E+01	0.0574
70	3.79E+02	9.24E+01	0.0617
80	4.08E+02	8.94E+01	0.0703
90	4.35E+02	8.65E+01	0.0789
100	4.61E+02	8.38E+01	0.0875
