1	2.75E+01	1.68E+00	0.0058
1.1	2.89E+01	1.70E+00	0.0062
1.2	3.02E+01	1.72E+00	0.0067
1.3	3.14E+01	1.74E+00	0.0071
1.4	3.26E+01	1.75E+00	0.0076
1.5	3.37E+01	1.76E+00	0.008
1.6	3.48E+01	1.77E+00	0.0085
1.7	3.59E+01	1.78E+00	0.0089
1.8	3.69E+01	1.79E+00	0.0093
2	3.89E+01	1.80E+00	0.0102
2.25	4.10E+01	1.81E+00	0.0113
2.5	4.29E+01	1.81E+00	0.0124
2.75	4.47E+01	1.81E+00	0.0135
3	4.64E+01	1.81E+00	0.0146
3.25	4.80E+01	1.81E+00	0.0157
3.5	4.96E+01	1.80E+00	0.0168
3.75	5.11E+01	1.79E+00	0.0179
4	5.26E+01	1.79E+00	0.019
4.5	5.54E+01	1.77E+00	0.0212
5	5.80E+01	1.75E+00	0.0235
5.5	6.05E+01	1.73E+00	0.0257
6	6.29E+01	1.71E+00	0.0279
6.5	6.52E+01	1.69E+00	0.0301
7	6.74E+01	1.67E+00	0.0324
8	7.15E+01	1.63E+00	0.0369
9	7.54E+01	1.59E+00	0.0414
10	7.91E+01	1.55E+00	0.0459
11	8.25E+01	1.51E+00	0.0504
12	8.58E+01	1.48E+00	0.055
13	8.90E+01	1.44E+00	0.0595
14	9.20E+01	1.41E+00	0.064
15	9.49E+01	1.38E+00	0.0686
16	9.77E+01	1.35E+00	0.0731
17	1.00E+02	1.32E+00	0.0776
18	1.03E+02	1.29E+00	0.0822
20	1.08E+02	1.24E+00	0.0912
22.5	1.14E+02	1.19E+00	0.1025
25	1.19E+02	1.14E+00	0.1137
27.5	1.24E+02	1.09E+00	0.1249
30	1.29E+02	1.05E+00	0.136
32.5	1.33E+02	1.01E+00	0.1471
35	1.37E+02	9.75E-01	0.1581
37.5	1.41E+02	9.43E-01	0.169
40	1.45E+02	9.13E-01	0.1799
45	1.52E+02	8.60E-01	0.2015
50	1.58E+02	8.13E-01	0.2229
55	1.63E+02	7.72E-01	0.2441
60	1.68E+02	7.36E-01	0.2652
65	1.72E+02	7.03E-01	0.2861
70	1.76E+02	6.73E-01	0.307
80	1.83E+02	6.22E-01	0.3485
90	1.88E+02	5.79E-01	0.3898
100	1.91E+02	5.43E-01	0.431
110	1.94E+02	5.11E-01	0.4724
120	1.95E+02	4.83E-01	0.5139
130	1.96E+02	4.59E-01	0.5557
140	1.96E+02	4.37E-01	0.5979
150	1.96E+02	4.18E-01	0.6405
160	1.95E+02	4.00E-01	0.6836
170	1.94E+02	3.84E-01	0.7272
180	1.93E+02	3.69E-01	0.7713
200	1.90E+02	3.43E-01	0.8614
225	1.86E+02	3.16E-01	0.9774
250	1.81E+02	2.94E-01	1.1
275	1.77E+02	2.74E-01	1.22
300	1.73E+02	2.58E-01	1.35
325	1.69E+02	2.43E-01	1.48
350	1.65E+02	2.30E-01	1.62
375	1.61E+02	2.19E-01	1.75
400	1.58E+02	2.09E-01	1.9
450	1.52E+02	1.91E-01	2.19
500	1.46E+02	1.77E-01	2.5
550	1.41E+02	1.64E-01	2.82
600	1.36E+02	1.54E-01	3.16
650	1.32E+02	1.45E-01	3.5
700	1.28E+02	1.37E-01	3.86
800	1.21E+02	1.23E-01	4.61
